Historique;Date
BBFL 12'-0 x 36 x 42D 00 SANS MAIN,POC,2T,MI,E1,P1,PC24à74 1/2;01-08-25
BMT-S 17'-0 x 6654 x 60I 40T B45,3T,0MI,P2C,BGR,BS-A7,BS-A5,BS-A11;02-07-25
BMT-S 17'-0 x 6654 x 60I 40T B45,3T,0MI,P2C,BGR,BS-A7,BS-A5,BS-A11;02-07-25
BBFS 11'-6 x 30 x 36D 20T L96,SOBE,0T0TC,0PP,0MI,0c0cSL;02-07-25
BBFS 11'-6 x 30 x 36D 20T L96,SOBE,0T0TC,0PP,0MI,0c0cSL;02-07-25
BBFS 11'-0 x 30 x 36I 20T 2T,MI,0c0cSL,CLÉà11;02-07-25
BBFS 11'-0 x 30 x 36I 20T 2T,MI,0c0cSL,CLÉà11;02-07-25
BBFS 10'-0 x 30 x 36I 20T 2T,MI,0c0cSL,CLÉà11;02-07-25
BBFS 10'-0 x 30 x 36I 20T 2T,MI,0c0cSL,CLÉà11;02-07-25
BMT-S 17'-6 x 60 x 66D 40T DHD,DRV,F3/8,S3/8,D1/4,C 1/4,PHL,B45,MI,P2C;01-07-25
BMT-S 17'-6 x 60 x 66D 40T DHD,DRV,F3/8,S3/8,D1/4,C 1/4,PHL,B45,MI,P2C;01-07-25
BFL-S 14'-6 x 48 x 60D 00 SANS MAIN,SOB,POC,2T,T-R,NTRA,NPAC,CC,MI,E1,P1,CLÉà14½;01-07-25
BFL-S 15'-6 x 36 x 42I 30T POT SP,DRV,MI,CLÉà20;01-07-25
BFL-S 15'-6 x 54 x 60I 30T DRV,PHL,TRTA,MI,CLÉ;01-07-25
BFL-S 15'-6 x 54 x 60I 30T DRV,PHL,TRTA,MI,CLÉ;01-07-25
EL-188 16'-0 x 48 x 60D 40T DRV,PHL,MI;02-06-25
EL-250 16'-0 x 60 x 62D 40T 2T,MI,CLÉ,2CD (G)  (D) PROTO;02-06-25
BMT-S 19'-0 x 48 x 60I 40T PHL,B45,2T,MI;02-06-25
BMT-S 21'-0 x 54 x 60I 50T PHL,B45,2T,MI,VIB;02-06-25
BFL-S 19'-0 x 48 x 60I 40T PHL,B45,2T,MI,VIB;02-06-25
BFL-S 18'-0 x 48 x 60D 40T DRV,PHL,2T,MI,CLÉ,VIB;02-06-25
BMT-S 18'-0 x 60 x 66I 40T DHD,DRV,F3/8,S3/8,D1/4,C 1/4,PHL,B45,2T,MI,P2C,CLÉ;01-06-25
BFL-S 15'-6 x 48 x 54I 40T DIN,B45,I12,0T0TC,0MI,P2C;01-06-25
BFL-S 15'-6 x 48 x 54I 40T DIN,B45,I12,0T0TC,0MI,P2C;01-06-25
BFL-P 26'-0 x 60 x 96D 00 P2C(2),DPP66,SOH,S1/4,T-R,NTRA,NPAC,MI,0PP,E1,P1,0c0c,POT AR 1/4;01-06-25
BBFL 14'-0 x 18 x 26D 00 ROLL-OFF,0MI,0c0cSL,TUBE-P,ROFFROL;01-06-25
BMT-S 16'-0 x 48 x 60D 00 ROLL-OFF,POC,0T0TC,NTRA,NPAC,MI,E1,P1,0c0cSL,CLÉà14½,ROFFROL;01-06-25
BFL-S 19'-0 x 6048 x 54I 40T DRV,PHL,B45,2T,MI,BS-A5,BS-A43;01-06-25
BMT-S 14'-0 x 42 x 60I 30T F3/8,S3/8,C 1/4,2T,MI,CLÉ,3CD;13-05-25
BMT-S 16'-0 x 48 x 60D 40T MI,0PP,P2C;13-05-25
BMT-S 16'-6 x 54 x 60D 40T MI,0PP,P2C;13-05-25
BMT-S 18'-0 x 54 x 60D 40T DRV,MI,0PP,P2C;13-05-25
BMT-S 18'-0 x 54 x 60D 40T DRV,PHL,MI,0PP,P2C,CLÉ;13-05-25
BMT-S 18'-0 x 54 x 60D 40T DRV,PHL,MI,0PP,P2C,CLÉ;13-05-25
BMT-S 18'-6 x 54 x 60D 40T DRV,PHL,MI,0PP,0c0cSL,P2C,CLÉ;13-05-25
MS-HD 11'-0 x 24 x 36D 20T 2T,PPMDA,3CD;12-05-25
BBMT 11'-0 x 30 x 42D 20T 2T,MI,3CD;12-05-25
BBMT 11'-0 x 30 x 42D 20T 2T,MI,3CD;12-05-25
BMT-S 14'-0 x 48 x 60D 30T 2T,MI,3CD;12-05-25
BMT-S 14'-0 x 54 x 66D 30T 2T,MI,3CD;12-05-25
BMT-S 16'-0 x 48 x 60I 40T 3T,MI;12-05-25
BMT-S 21'-0 x 48 x 54I 50T SOH,PHL,TRTA à 132,MI,E1à13,P1,CLÉ;01-05-25
BFL-S 20'-6 x 48 x 60I 50T SOH,TRTA à 127,MI,E1à13,P1;01-05-25
BFL-S 20'-6 x 48 x 60I 50T SOH,TRTA à 127,MI,E1à13,P1;01-05-25
BFL-S 20'-6 x 48 x 60I 50T SOH,TRTA à 127,MI,E1à13,P1;01-05-25
BMT-S 17'-6 x 54 x 60I 40T DHD,D1/4,C 1/4,PHL,2T,MI,CLÉ;01-05-25
REM-BMT 27'-0 x 60 x 66D 0T PHL,B45,E1,0c0c,BGR,SANS B-A10;01-05-25
REM-BMT 27'-0 x 60 x 66D 0T PHL,B45,E1,0c0c,BGR,SANS B-A10;01-05-25
BMS 14'-0 x 42 x 48I 30T 2T,MI,CLÉ,1CD,PC36à77;30-04-25
BMS 14'-0 x 42 x 48I 30T 2T,MI,CLÉ,1CD,PC36à77;30-04-25
BBMS 11'-0 x 30 x 42D 20T 2T,MI,0c0cSL,1CD;30-04-25
BBMS 11'-0 x 30 x 42D 20T 2T,MI,0c0cSL,3CD;30-04-25
BFL-S 19'-0 x 6048 x 54I 40T DRV,PHL,B45,2T,MI;09-01-25
BFL-S 19'-0 x 6048 x 54I 40T DRV,PHL,B45,2T,MI;09-01-25
